player_id,fifa_version,overall,potential,age,height_cm,weight_kg,club_team_id,club_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,goals,assists,club_position_mapped,primary_position,has_multiple_positions,primary_position_mapped,years_remaining,log_value_eur,log_wage_eur,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique
667,21,83.0,83.0,0.8943499074653488,-0.902441874341523,0.11783504755150319,0,9.0,Right,4.0,4.0,3.0,76.0,82.0,75.0,84.0,46.0,75.0,68.0,83.0,13,2,1,ST,0,1,1.0,1.449987023010395,1.1929730415426392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
715,21,83.0,84.0,0.6738283458336337,1.6493450253147162,1.7965575365823412,5,32.0,Right,2.0,2.0,2.0,60.0,46.0,68.0,68.0,85.0,78.0,54.0,36.0,1,2,12,CB,0,11,3.0,1.415093195457967,1.123222847307867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,21,83.0,83.0,0.45330678420191867,-0.33537811886235874,-1.3026224431668982,24,11.0,Right,3.0,5.0,2.0,90.0,75.0,72.0,87.0,34.0,75.0,76.0,77.0,11,2,18,LM,1,18,2.0,1.4830189387909947,0.8403023427026519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
813,21,83.0,83.0,0.45330678420191867,-1.1859737520811051,-0.786092446542025,13,27.0,Right,4.0,4.0,3.0,92.0,78.0,72.0,87.0,43.0,67.0,73.0,79.0,3,4,20,RM,1,20,3.0,1.4830189387909947,1.1588247132919163,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
955,21,83.0,83.0,0.6738283458336337,-0.33537811886235874,-1.0443574448544617,2,5.0,Right,3.0,3.0,2.0,55.0,65.0,84.0,80.0,72.0,73.0,75.0,60.0,7,1,9,CM,1,24,2.0,1.449987023010395,1.1929730415426392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,21,83.0,86.0,0.23278522257020354,-0.902441874341523,0.5052325450201581,2,17.0,Right,4.0,4.0,3.0,75.0,69.0,83.0,88.0,69.0,70.0,73.0,61.0,0,1,12,CM,1,24,3.0,1.6065430672429475,1.1588247132919163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1078,21,83.0,86.0,0.23278522257020354,-0.05184624112277659,-0.2695624499171517,6,27.0,Right,3.0,4.0,2.0,86.0,65.0,79.0,83.0,77.0,71.0,83.0,58.0,2,3,12,RB,0,10,4.0,1.5586251222930059,1.2877745700334566,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1093,21,83.0,87.0,-0.20825790069322667,0.7987493920959698,0.5052325450201581,13,20.0,Right,3.0,4.0,3.0,72.0,80.0,79.0,83.0,71.0,79.0,68.0,82.0,0,1,12,CAM,1,14,3.0,1.6691419434020383,1.047123399777841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1288,21,83.0,83.0,1.3353930307287791,1.082281269835552,0.5052325450201581,9,1.0,Right,2.0,1.0,1.0,,,,,,,12.0,10.0,0,0,5,GK,0,5,4.0,1.0457268575015422,0.3747240055747717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1428,21,83.0,88.0,-0.42877946232494174,0.7987493920959698,0.11783504755150319,5,12.0,Right,3.0,3.0,2.0,82.0,30.0,66.0,69.0,83.0,80.0,69.0,26.0,0,0,8,CB,0,11,3.0,1.6386332315734267,0.9634019523378544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
